Experiment,Mineral_source,Mineral,UO2CO3,mu,Uranyl_Complex,uranium_total,Site_Density
247,1,0,-8.7623,0.0115004,-5.2322,-5.0,-2.3382775889721437
248,1,0,-8.3809,0.0114902,-5.2594,-5.0,-2.3382775889721437
249,1,0,-8.3084,0.0114886,-5.2666,-5.0,-2.3382775889721437
250,1,0,-7.8059,0.0114798,-5.3481,-5.0,-2.3382775889721437
251,1,0,-7.4259,0.0114733,-5.5068,-5.0,-2.3382775889721437
252,1,0,-7.2437,0.0114693,-5.6901,-5.0,-2.3382775889721437
253,1,0,-7.0947,0.0114654,-6.003,-5.0,-2.3382775889721437
254,1,0,-6.9778,0.0114636,-6.7246,-5.0,-2.3382775889721437
255,1,0,-7.7456,0.0116563,-4.2809,-4.0,-2.3382775889721437
256,1,0,-7.3661,0.0116235,-4.3809,-4.0,-2.3382775889721437
257,1,0,-7.2124,0.0116026,-4.4632,-4.0,-2.3382775889721437
258,1,0,-6.8453,0.0115191,-5.0215,-4.0,-2.3382775889721437
259,1,0,-6.7304,0.0114924,-5.5151,-4.0,-2.3382775889721437
260,1,0,-6.688,0.0114844,-5.9145,-4.0,-2.3382775889721437
261,1,0,-6.6848,0.0114823,-6.1818,-4.0,-2.3382775889721437
262,1,0,-6.705,0.0114818,-6.4454,-4.0,-2.3382775889721437
263,1,0,-6.8763,0.0114838,-7.1177,-4.0,-2.3382775889721437
264,4,0,-12.161,0.0118974,-6.1949,-6.0,-3.300489028082744
265,4,0,-11.36,0.0116314,-6.1965,-6.0,-3.300489028082744
266,4,0,-10.269,0.0115065,-6.2102,-6.0,-3.300489028082744
267,4,0,-9.5093,0.0114778,-6.2389,-6.0,-3.300489028082744
268,4,0,-8.9879,0.0114686,-6.2809,-6.0,-3.300489028082744
269,4,0,-8.5333,0.0114641,-6.3478,-6.0,-3.300489028082744
270,4,0,-8.062,0.0114615,-6.4765,-6.0,-3.300489028082744
271,4,0,-7.5782,0.0114604,-6.8072,-6.0,-3.300489028082744
272,4,0,-7.3972,0.0114615,-7.3463,-6.0,-3.300489028082744
273,4,0,-7.6997,0.0114678,-8.9044,-6.0,-3.300489028082744
274,4,0,-7.7781,0.0114686,-9.1175,-6.0,-3.300489028082744
275,4,0,-8.2311,0.0114714,-10.185,-6.0,-3.300489028082744
276,4,0,-8.7201,0.0114729,-11.209,-6.0,-3.300489028082744
277,4,0,-9.1824,0.0114745,-12.125,-6.0,-3.300489028082744
278,1,0,-9.3959,0.00897618,-12.599,-6.0,-2.9537015418580874
279,1,0,-9.1878,0.00897481,-12.202,-6.0,-2.9537015418580874
280,1,0,-8.8053,0.00897331,-11.448,-6.0,-2.9537015418580874
281,1,0,-8.6136,0.00897277,-11.06,-6.0,-2.9537015418580874
282,1,0,-8.5345,0.00897254,-10.897,-6.0,-2.9537015418580874
283,1,0,-8.4056,0.00897215,-10.629,-6.0,-2.9537015418580874
284,1,0,-8.1161,0.00897099,-10.005,-6.0,-2.9537015418580874
285,1,0,-8.0767,0.00897078,-9.9167,-6.0,-2.9537015418580874
286,1,0,-7.8135,0.00896896,-9.2946,-6.0,-2.9537015418580874
287,1,0,-8.5635,0.0224898,-10.892,-6.0,-2.9537015418580874
288,1,0,-8.2253,0.0224885,-10.172,-6.0,-2.9537015418580874
289,1,0,-8.0234,0.0224874,-9.7141,-6.0,-2.9537015418580874
290,1,0,-7.8281,0.0224858,-9.234,-6.0,-2.9537015418580874
291,1,0,-8.4902,0.0224895,-10.74,-6.0,-2.9537015418580874
292,1,0,-8.258,0.0224887,-10.244,-6.0,-2.9537015418580874
293,1,0,-8.0085,0.0224873,-9.6791,-6.0,-2.9537015418580874
294,1,0,-7.9514,0.0224869,-9.5427,-6.0,-2.9537015418580874
295,1,0,-8.6333,0.0103875,-11.075,-6.0,-2.9537015418580874
296,1,0,-8.404,0.010387,-10.606,-6.0,-2.9537015418580874
297,1,0,-8.1972,0.0103864,-10.168,-6.0,-2.9537015418580874
298,1,0,-8.0544,0.0103858,-9.8524,-6.0,-2.9537015418580874
299,1,0,-7.8983,0.0103848,-9.4903,-6.0,-2.9537015418580874
300,1,0,-7.8263,0.0103843,-9.3148,-6.0,-2.9537015418580874
301,1,0,-7.7609,0.0103837,-9.1493,-6.0,-2.9537015418580874
302,1,0,-8.4229,0.0241596,-10.534,-6.0,-2.9537015418580874
303,1,0,-8.1496,0.0241591,-9.968,-6.0,-2.9537015418580874
304,1,0,-7.9732,0.0241584,-9.5744,-6.0,-2.9537015418580874
305,3,0,-9.8961,0.0115815,-5.2001,-5.0,-1.7776102828024063
306,3,0,-9.2303,0.0115243,-5.2117,-5.0,-1.7776102828024063
307,3,0,-7.8949,0.0114831,-5.3151,-5.0,-1.7776102828024063
308,3,0,-7.2979,0.0114729,-5.5571,-5.0,-1.7776102828024063
309,3,0,-6.9369,0.0114648,-6.4468,-5.0,-1.7776102828024063
310,3,0,-8.8694,0.0117538,-4.2053,-4.0,-1.7776102828024063
311,3,0,-8.2618,0.0116962,-4.2251,-4.0,-1.7776102828024063
312,3,0,-7.4007,0.0116347,-4.3448,-4.0,-1.7776102828024063
313,3,0,-7.1792,0.0116083,-4.4429,-4.0,-1.7776102828024063
314,3,0,-7.0057,0.0115767,-4.5899,-4.0,-1.7776102828024063
315,3,0,-6.8734,0.0115445,-4.7921,-4.0,-1.7776102828024063
316,3,0,-6.6677,0.0114938,-5.5041,-4.0,-1.7776102828024063
317,3,0,-9.9165,0.0115758,-5.2007,-5.0,-1.7776102828024063
318,3,0,-8.9887,0.0115092,-5.2218,-5.0,-1.7776102828024063
319,3,0,-8.1113,0.0114856,-5.2909,-5.0,-1.7776102828024063
320,3,0,-7.6306,0.0114777,-5.4029,-5.0,-1.7776102828024063
321,3,0,-7.5045,0.0114756,-5.4602,-5.0,-1.7776102828024063
322,3,0,-7.136,0.0114672,-5.898,-5.0,-1.7776102828024063
323,3,0,-7.0282,0.0114647,-6.2793,-5.0,-1.7776102828024063
324,3,0,-7.0674,0.0114674,-7.6019,-5.0,-1.7776102828024063
325,3,0,-7.5227,0.011472,-8.933,-5.0,-1.7776102828024063
326,3,0,-7.633,0.0114725,-9.1876,-5.0,-1.7776102828024063
327,3,0,-7.7241,0.0114728,-9.3913,-5.0,-1.7776102828024063
328,3,0,-8.4791,0.0114737,-10.971,-5.0,-1.7776102828024063
329,3,0,-8.5411,0.0114737,-11.096,-5.0,-1.7776102828024063
330,3,0,-10.729,0.0124723,-4.1979,-4.0,-1.7776102828024063
331,3,0,-9.1221,0.0117792,-4.2024,-4.0,-1.7776102828024063
332,3,0,-8.3505,0.0116977,-4.224,-4.0,-1.7776102828024063
333,3,0,-7.8976,0.0116671,-4.2601,-4.0,-1.7776102828024063
334,3,0,-7.6133,0.0116471,-4.3065,-4.0,-1.7776102828024063
335,3,0,-7.395,0.0116271,-4.3706,-4.0,-1.7776102828024063
336,3,0,-7.1018,0.0115827,-4.5589,-4.0,-1.7776102828024063
337,3,0,-7.0207,0.0115646,-4.6574,-4.0,-1.7776102828024063
338,3,0,-6.7163,0.01149,-5.6348,-4.0,-1.7776102828024063
339,3,0,-6.7004,0.011487,-5.7805,-4.0,-1.7776102828024063
340,3,0,-6.687,0.0114841,-6.0159,-4.0,-1.7776102828024063
341,3,0,-6.9221,0.0114849,-7.226,-4.0,-1.7776102828024063
342,3,0,-8.723,0.0114871,-10.072,-4.0,-1.7776102828024063
343,1,0,-10.872,0.0115516,-6.2008,-6.0,-2.3382775889721437
344,1,0,-10.148,0.0114981,-6.2143,-6.0,-2.3382775889721437
345,1,0,-10.335,0.0115079,-6.2096,-6.0,-2.3382775889721437
346,1,0,-9.991,0.0114913,-6.2191,-6.0,-2.3382775889721437
347,1,0,-9.7052,0.0114818,-6.2307,-6.0,-2.3382775889721437
348,1,0,-9.5047,0.0114767,-6.2416,-6.0,-2.3382775889721437
349,1,0,-8.9006,0.011467,-6.296,-6.0,-2.3382775889721437
350,1,0,-8.8341,0.0114663,-6.3049,-6.0,-2.3382775889721437
351,1,0,-8.4788,0.0114634,-6.3673,-6.0,-2.3382775889721437
352,1,0,-8.0853,0.0114613,-6.4827,-6.0,-2.3382775889721437
353,1,0,-7.7461,0.0114604,-6.672,-6.0,-2.3382775889721437
354,1,0,-7.6793,0.0114603,-6.7332,-6.0,-2.3382775889721437
355,1,0,-7.6082,0.0114603,-6.8173,-6.0,-2.3382775889721437
356,1,0,-7.4529,0.0114608,-7.1926,-6.0,-2.3382775889721437
357,1,0,-7.4501,0.0114629,-7.8462,-6.0,-2.3382775889721437
